Year,Month,MonthYear,Trips,Miles,revenue
2014,1,2014-01-01,327249,432.83199999999994,36791.19999999999
2014,2,2014-02-01,247352,356.233,36845.5
2014,3,2014-03-01,478029,693.8249999999999,114402.44999999998
2014,4,2014-04-01,730091,1231.7949999999998,302705.05
2014,5,2014-05-01,954994,1701.2930000000001,485619.25000000006
2014,6,2014-06-01,1035678,1870.988,527817.2
2014,7,2014-07-01,1061591,1850.4719999999998,509135.0
2014,8,2014-08-01,1061476,1043600.546,569905.7
2014,9,2014-09-01,1052153,1798856.0,429079.8999999999
2014,10,2014-10-01,924144,1496115.0,306280.29999999993
2014,11,2014-11-01,583661,858499.0,127768.85
2014,12,2014-12-01,437450,615379.0,76609.15
2015,1,2015-01-01,313670,409018.0,27658.750000000004
2015,2,2015-02-01,217534,281465.0,12068.550000000001
2015,3,2015-03-01,373757,509189.0,64467.39999999999
2015,4,2015-04-01,708362,1186817.0,322261.15
2015,5,2015-05-01,1039619,1876304.0,689820.0000000001
2015,6,2015-06-01,991415,1683493.0,509650.35000000003
2015,7,2015-07-01,1114752,2016388.0,672178.0
2015,8,2015-08-01,1190704,2256471.0,789974.4
2015,9,2015-09-01,1282258,2433105.0,717363.4500000001
2015,10,2015-10-01,1212298,2390997.0,554568.3999999999
2015,11,2015-11-01,987266,1906568.0,379816.7
2015,12,2015-12-01,804099,1500517.0,274826.85
2016,1,2016-01-01,509458,863043.0,100690.4
2016,2,2016-02-01,560551,993661.0,125190.54999999997
2016,3,2016-03-01,919731,1780589.0,372082.69999999995
2016,4,2016-04-01,1013071,2278188.0,526428.4500000001
2016,5,2016-05-01,1212343,2789168.0,709094.8
2016,6,2016-06-01,1459917,3432048.0,884928.0
2016,7,2016-07-01,1379858,3264235.0,856656.0
2016,8,2016-08-01,1557164,3482251.0,884196.0
2016,9,2016-09-01,1647741,3721404.0,910464.0
2016,10,2016-10-01,1573266,3363444.0,700188.0
2016,11,2016-11-01,1196703,2692661.0,425844.0
2016,12,2016-12-01,812016,1732357.0,159948.0
2017,1,2017-01-01,726676,1611891.0,123792.0
2017,2,2017-02-01,791648,1990382.0,236232.0
2017,3,2017-03-01,727668,1727668.0,149136.0
2017,4,2017-04-01,1315387,3427155.0,937872.0
2017,5,2017-05-01,1523228,3804114.0,872880.0
2017,6,2017-06-01,1731507,4126199.0,976560.0
2017,7,2017-07-01,1735677,4234351.0,1155180.0
2017,8,2017-08-01,1816390,4360292.0,1133652.0
2017,9,2017-09-01,1879411,4318618.0,1023072.0
2017,10,2017-10-01,1897533,4061321.0,905928.0
2017,11,2017-11-01,1330612,2674409.0,404844.0
2017,12,2017-12-01,889958,1814149.0,170088.0
