Year,Month,MonthYear,Trips,Miles,revenue
2014,1,2014-01-01,10556.41935483871,13.962322580645159,1186.8129032258062
2014,2,2014-02-01,8834.0,12.722607142857143,1315.9107142857142
2014,3,2014-03-01,15420.290322580646,22.381451612903223,3690.401612903225
2014,4,2014-04-01,24336.366666666665,41.05983333333333,10090.168333333333
2014,5,2014-05-01,30806.25806451613,54.880419354838715,15665.137096774195
2014,6,2014-06-01,34522.6,62.36626666666667,17593.906666666666
2014,7,2014-07-01,34244.87096774193,59.692645161290315,16423.709677419356
2014,8,2014-08-01,34241.16129032258,33664.533741935484,18384.054838709675
2014,9,2014-09-01,35071.76666666667,59961.86666666667,14302.66333333333
2014,10,2014-10-01,29811.09677419355,48261.77419354839,9880.009677419353
2014,11,2014-11-01,19455.366666666665,28616.633333333335,4258.961666666667
2014,12,2014-12-01,14111.290322580646,19850.935483870966,2471.2629032258064
2015,1,2015-01-01,10118.387096774193,13194.129032258064,892.217741935484
2015,2,2015-02-01,7769.071428571428,10052.32142857143,431.0196428571429
2015,3,2015-03-01,12056.677419354839,16425.451612903227,2079.5935483870962
2015,4,2015-04-01,23612.066666666666,39560.566666666666,10742.038333333334
2015,5,2015-05-01,33536.096774193546,60525.93548387097,22252.258064516132
2015,6,2015-06-01,33047.166666666664,56116.433333333334,16988.345
2015,7,2015-07-01,35959.74193548387,65044.77419354839,21683.16129032258
2015,8,2015-08-01,38409.8064516129,72789.3870967742,25483.045161290323
2015,9,2015-09-01,42741.933333333334,81103.5,23912.115
2015,10,2015-10-01,39106.3870967742,77128.93548387097,17889.30322580645
2015,11,2015-11-01,32908.86666666667,63552.26666666667,12660.556666666667
2015,12,2015-12-01,25938.677419354837,48403.77419354839,8865.382258064516
2016,1,2016-01-01,16434.129032258064,27840.09677419355,3248.0774193548386
2016,2,2016-02-01,19329.344827586207,34264.1724137931,4316.915517241378
2016,3,2016-03-01,29668.74193548387,57438.354838709674,12002.667741935482
2016,4,2016-04-01,33769.03333333333,75939.6,17547.615
2016,5,2016-05-01,39107.83870967742,89973.16129032258,22874.025806451613
2016,6,2016-06-01,48663.9,114401.6,29497.6
2016,7,2016-07-01,44511.54838709677,105297.90322580645,27634.064516129034
2016,8,2016-08-01,50231.096774193546,112330.67741935483,28522.451612903227
2016,9,2016-09-01,54924.7,124046.8,30348.8
2016,10,2016-10-01,50750.51612903226,108498.19354838709,22586.709677419356
2016,11,2016-11-01,39890.1,89755.36666666667,14194.8
2016,12,2016-12-01,26194.064516129034,55882.48387096774,5159.612903225807
2017,1,2017-01-01,23441.16129032258,51996.48387096774,3993.2903225806454
2017,2,2017-02-01,28273.14285714286,71085.07142857143,8436.857142857143
2017,3,2017-03-01,23473.16129032258,55731.22580645161,4810.8387096774195
2017,4,2017-04-01,43846.23333333333,114238.5,31262.4
2017,5,2017-05-01,49136.3870967742,122713.35483870968,28157.41935483871
2017,6,2017-06-01,57716.9,137539.96666666667,32552.0
2017,7,2017-07-01,55989.58064516129,136591.96774193548,37263.87096774193
2017,8,2017-08-01,58593.22580645161,140654.5806451613,36569.41935483871
2017,9,2017-09-01,62647.03333333333,143953.93333333332,34102.4
2017,10,2017-10-01,61210.74193548387,131010.35483870968,29223.483870967742
2017,11,2017-11-01,44353.73333333333,89146.96666666666,13494.8
2017,12,2017-12-01,28708.322580645163,58520.93548387097,5486.709677419355
