Year,Month,MonthYear,Trips,Miles
2014,1,2014-01-01,327249,13.962322580645159
2014,2,2014-02-01,247352,12.722607142857143
2014,3,2014-03-01,478029,22.381451612903223
2014,4,2014-04-01,730091,41.05983333333333
2014,5,2014-05-01,954994,54.880419354838715
2014,6,2014-06-01,1035678,62.36626666666667
2014,7,2014-07-01,1061591,59.692645161290315
2014,8,2014-08-01,1061476,33664.533741935484
2014,9,2014-09-01,1052153,59961.86666666667
2014,10,2014-10-01,924144,48261.77419354839
2014,11,2014-11-01,583661,28616.633333333335
2014,12,2014-12-01,437450,19850.935483870966
2015,1,2015-01-01,313670,13194.129032258064
2015,2,2015-02-01,217534,10052.32142857143
2015,3,2015-03-01,373757,16425.451612903227
2015,4,2015-04-01,708362,39560.566666666666
2015,5,2015-05-01,1039619,60525.93548387097
2015,6,2015-06-01,991415,56116.433333333334
2015,7,2015-07-01,1114752,65044.77419354839
2015,8,2015-08-01,1190704,72789.3870967742
2015,9,2015-09-01,1282258,81103.5
2015,10,2015-10-01,1212298,77128.93548387097
2015,11,2015-11-01,987266,63552.26666666667
2015,12,2015-12-01,804099,48403.77419354839
2016,1,2016-01-01,509458,27840.09677419355
2016,2,2016-02-01,560551,34264.1724137931
2016,3,2016-03-01,919731,57438.354838709674
2016,4,2016-04-01,1013071,75939.6
2016,5,2016-05-01,1212343,89973.16129032258
2016,6,2016-06-01,1459917,114401.6
2016,7,2016-07-01,1379858,105297.90322580645
2016,8,2016-08-01,1557164,112330.67741935483
2016,9,2016-09-01,1647741,124046.8
2016,10,2016-10-01,1573266,108498.19354838709
2016,11,2016-11-01,1196703,89755.36666666667
2016,12,2016-12-01,812016,55882.48387096774
2017,1,2017-01-01,726676,51996.48387096774
2017,2,2017-02-01,791648,71085.07142857143
2017,3,2017-03-01,727668,55731.22580645161
2017,4,2017-04-01,1315387,114238.5
2017,5,2017-05-01,1523228,122713.35483870968
2017,6,2017-06-01,1731507,137539.96666666667
2017,7,2017-07-01,1735677,136591.96774193548
2017,8,2017-08-01,1816390,140654.5806451613
2017,9,2017-09-01,1879411,143953.93333333332
2017,10,2017-10-01,1897533,131010.35483870968
2017,11,2017-11-01,1330612,89146.96666666666
2017,12,2017-12-01,889958,58520.93548387097
