Date,24HPass,3DPass,7DPass,Trips,Miles,Year,Month,Day,MonthYear
2013-05-27,0.0,,0.0,9767,21.533,2013,5,27,2013-05-01
2013-05-28,0.0,,0.0,5215,8.78,2013,5,28,2013-05-01
2013-05-29,0.0,,0.0,10981,21.898000000000003,2013,5,29,2013-05-01
2013-05-30,0.0,,0.0,9850,20.320999999999998,2013,5,30,2013-05-01
2013-05-31,0.0,,0.0,9253,20.243,2013,5,31,2013-05-01
2013-06-01,0.0,,0.0,9852,26.346999999999998,2013,6,1,2013-06-01
2013-06-02,4723.0,,289.0,17590,52.143,2013,6,2,2013-06-01
2013-06-03,1160.0,,221.0,8599,18.907,2013,6,3,2013-06-01
2013-06-04,2922.0,,394.0,17589,48.666000000000004,2013,6,4,2013-06-01
2013-06-05,2821.0,,279.0,17433,44.917,2013,6,5,2013-06-01
2013-06-06,1872.0,,210.0,13732,30.987,2013,6,6,2013-06-01
2013-06-07,66.0,,11.0,1393,2.065,2013,6,7,2013-06-01
2013-06-08,5013.0,,230.0,19899,54.665,2013,6,8,2013-06-01
2013-06-09,5772.0,,275.0,23236,71.604,2013,6,9,2013-06-01
2013-06-10,290.0,,82.0,4504,10.138,2013,6,10,2013-06-01
2013-06-11,1836.0,,273.0,14638,34.63,2013,6,11,2013-06-01
2013-06-12,2767.0,,316.0,18960,45.714,2013,6,12,2013-06-01
2013-06-13,701.0,,119.0,8782,15.075,2013,6,13,2013-06-01
2013-06-14,2268.0,,211.0,16423,33.98,2013,6,14,2013-06-01
2013-06-15,6107.0,,319.0,27276,72.792,2013,6,15,2013-06-01
2013-06-16,4413.0,,314.0,23610,59.573,2013,6,16,2013-06-01
2013-06-17,2378.0,,530.0,21278,43.897,2013,6,17,2013-06-01
2013-06-18,1236.0,,277.0,14826,27.67,2013,6,18,2013-06-01
2013-06-19,2678.0,,607.0,26267,54.405,2013,6,19,2013-06-01
2013-06-20,2814.0,,421.0,28994,59.935,2013,6,20,2013-06-01
2013-06-21,3465.0,,408.0,30660,64.872,2013,6,21,2013-06-01
2013-06-22,5902.0,,383.0,31885,80.433,2013,6,22,2013-06-01
2013-06-23,4959.0,,279.0,30653,76.45,2013,6,23,2013-06-01
2013-06-24,1844.0,,386.0,26636,50.663999999999994,2013,6,24,2013-06-01
2013-06-25,1937.0,,343.0,30426,56.075,2013,6,25,2013-06-01
2013-06-26,2000.0,,301.0,32322,59.663000000000004,2013,6,26,2013-06-01
2013-06-27,1680.0,,223.0,28094,55.26,2013,6,27,2013-06-01
2013-06-28,2268.0,,291.0,30595,58.037,2013,6,28,2013-06-01
2013-06-29,4895.0,,296.0,32947,77.226,2013,6,29,2013-06-01
2013-06-30,3592.0,,178.0,27285,61.052,2013,6,30,2013-06-01
2013-07-01,846.0,,167.0,20151,36.168,2013,7,1,2013-07-01
2013-07-02,1435.0,,219.0,26682,48.733000000000004,2013,7,2,2013-07-01
2013-07-03,1419.0,,189.0,25509,46.016000000000005,2013,7,3,2013-07-01
2013-07-04,4219.0,,257.0,26004,63.674,2013,7,4,2013-07-01
2013-07-05,2803.0,,215.0,25541,53.419,2013,7,5,2013-07-01
2013-07-06,3178.0,,172.0,23697,53.761,2013,7,6,2013-07-01
2013-07-07,2703.0,,186.0,23688,50.63399999999999,2013,7,7,2013-07-01
2013-07-08,1453.0,,321.0,26063,49.831,2013,7,8,2013-07-01
2013-07-09,1379.0,,287.0,30929,55.498999999999995,2013,7,9,2013-07-01
2013-07-10,1435.0,,223.0,30705,55.948,2013,7,10,2013-07-01
2013-07-11,1478.0,,196.0,29689,56.393,2013,7,11,2013-07-01
2013-07-12,1096.0,,118.0,22817,39.97,2013,7,12,2013-07-01
2013-07-13,3285.0,,213.0,30132,64.833,2013,7,13,2013-07-01
2013-07-14,3681.0,,224.0,33545,75.02,2013,7,14,2013-07-01
2013-07-15,1382.0,,273.0,32565,57.755,2013,7,15,2013-07-01
2013-07-16,1288.0,,251.0,34757,61.856,2013,7,16,2013-07-01
2013-07-17,1303.0,,201.0,35172,60.698,2013,7,17,2013-07-01
2013-07-18,1094.0,,143.0,33222,56.228,2013,7,18,2013-07-01
2013-07-19,1389.0,,164.0,30667,52.784,2013,7,19,2013-07-01
2013-07-20,2811.0,,169.0,29145,58.799,2013,7,20,2013-07-01
2013-07-21,3502.0,,191.0,34694,76.31,2013,7,21,2013-07-01
2013-07-22,1005.0,,184.0,29787,50.145,2013,7,22,2013-07-01
2013-07-23,1390.0,,220.0,37296,65.911,2013,7,23,2013-07-01
2013-07-24,1708.0,,211.0,40699,74.469,2013,7,24,2013-07-01
2013-07-25,1163.0,,144.0,36207,62.188,2013,7,25,2013-07-01
2013-07-26,2073.0,,176.0,39499,72.71,2013,7,26,2013-07-01
2013-07-27,4259.0,,197.0,37131,82.27,2013,7,27,2013-07-01
2013-07-28,2391.0,,137.0,26780,53.562,2013,7,28,2013-07-01
2013-07-29,1712.0,,275.0,40018,73.425,2013,7,29,2013-07-01
2013-07-30,1701.0,,237.0,42982,77.917,2013,7,30,2013-07-01
2013-07-31,1692.0,,186.0,42745,76.982,2013,7,31,2013-07-01
2013-08-01,415.0,,73.0,23025,34.794000000000004,2013,8,1,2013-08-01
2013-08-02,2302.0,,230.0,40654,75.39,2013,8,2,2013-08-01
2013-08-03,3417.0,,180.0,34173,73.3,2013,8,3,2013-08-01
2013-08-04,4547.0,,261.0,40103,93.191,2013,8,4,2013-08-01
2013-08-05,1924.0,,276.0,41759,78.764,2013,8,5,2013-08-01
2013-08-06,1778.0,,222.0,42974,79.262,2013,8,6,2013-08-01
2013-08-07,1261.0,,183.0,39120,66.709,2013,8,7,2013-08-01
2013-08-08,946.0,,137.0,32063,51.665,2013,8,8,2013-08-01
2013-08-09,1269.0,,134.0,32926,54.952,2013,8,9,2013-08-01
2013-08-10,5567.0,,223.0,43368,103.744,2013,8,10,2013-08-01
2013-08-11,3826.0,,234.0,37161,83.00399999999999,2013,8,11,2013-08-01
2013-08-12,1314.0,,257.0,35646,62.896,2013,8,12,2013-08-01
2013-08-13,787.0,,111.0,25569,44.373999999999995,2013,8,13,2013-08-01
2013-08-14,1727.0,,219.0,43437,78.48100000000001,2013,8,14,2013-08-01
2013-08-15,1733.0,,179.0,42922,76.29899999999999,2013,8,15,2013-08-01
2013-08-16,2085.0,,170.0,41251,77.044,2013,8,16,2013-08-01
2013-08-17,5729.0,,217.0,44284,104.29,2013,8,17,2013-08-01
2013-08-18,2524.0,,160.0,31512,62.738,2013,8,18,2013-08-01
2013-08-19,1395.0,,236.0,37922,65.704,2013,8,19,2013-08-01
2013-08-20,1491.0,,233.0,41155,72.697,2013,8,20,2013-08-01
2013-08-21,1365.0,,176.0,41718,73.19800000000001,2013,8,21,2013-08-01
2013-08-22,787.0,,128.0,30747,51.255,2013,8,22,2013-08-01
2013-08-23,1965.0,,157.0,38716,72.175,2013,8,23,2013-08-01
2013-08-24,3933.0,,194.0,38049,81.05199999999999,2013,8,24,2013-08-01
2013-08-25,3626.0,,199.0,36641,80.733,2013,8,25,2013-08-01
2013-08-26,1098.0,,190.0,34812,61.473,2013,8,26,2013-08-01
2013-08-27,1222.0,,188.0,39258,67.086,2013,8,27,2013-08-01
2013-08-28,765.0,,102.0,32262,53.456,2013,8,28,2013-08-01
2013-08-29,1363.0,,141.0,38626,65.917,2013,8,29,2013-08-01
2013-08-30,1872.0,,165.0,36870,67.249,2013,8,30,2013-08-01
2013-08-31,3064.0,,174.0,28547,60.049,2013,8,31,2013-08-01
2013-09-01,3273.0,,148.0,28330,61.096000000000004,2013,9,1,2013-09-01
2013-09-02,1829.0,,121.0,24094,46.06,2013,9,2,2013-09-01
