Date,24HPass,3DPass,7DPass,Trips,Miles,Year,Month,Day,MonthYear,revenue,LogTrips
2013-05-27,0.0,0.0,0.0,9767,21.533,2013,5,27,2013-05-01,0.0,9.186764635447478
2013-05-28,0.0,0.0,0.0,5215,8.78,2013,5,28,2013-05-01,0.0,8.559294367434873
2013-05-29,0.0,0.0,0.0,10981,21.898000000000003,2013,5,29,2013-05-01,0.0,9.303921785597714
2013-05-30,0.0,0.0,0.0,9850,20.321,2013,5,30,2013-05-01,0.0,9.195226734166134
2013-05-31,0.0,0.0,0.0,9253,20.243,2013,5,31,2013-05-01,0.0,9.13270310224903
2013-06-01,0.0,0.0,0.0,9852,26.347,2013,6,1,2013-06-01,0.0,9.195429759240428
2013-06-02,4723.0,0.0,289.0,17590,52.143,2013,6,2,2013-06-01,54218.85,9.775085837731604
2013-06-03,1160.0,0.0,221.0,8599,18.907,2013,6,3,2013-06-01,17067.0,9.059401196410896
2013-06-04,2922.0,0.0,394.0,17589,48.666,2013,6,4,2013-06-01,38923.899999999994,9.775028985632325
2013-06-05,2821.0,0.0,279.0,17433,44.917,2013,6,5,2013-06-01,35043.95,9.766120240743215
2013-06-06,1872.0,0.0,210.0,13732,30.987,2013,6,6,2013-06-01,23876.399999999998,9.527484154577582
2013-06-07,66.0,0.0,11.0,1393,2.065,2013,6,7,2013-06-01,931.6999999999999,7.239214973779806
2013-06-08,5013.0,0.0,230.0,19899,54.665,2013,6,8,2013-06-01,55629.35,9.898424758193666
2013-06-09,5772.0,0.0,275.0,23236,71.604,2013,6,9,2013-06-01,64306.399999999994,10.053458079112422
2013-06-10,290.0,0.0,82.0,4504,10.138,2013,6,10,2013-06-01,4935.5,8.412721169819527
2013-06-11,1836.0,0.0,273.0,14638,34.63,2013,6,11,2013-06-01,25093.199999999997,9.591376166161172
2013-06-12,2767.0,0.0,316.0,18960,45.714,2013,6,12,2013-06-01,35431.649999999994,9.850086775809013
2013-06-13,701.0,0.0,119.0,8782,15.075,2013,6,13,2013-06-01,9949.95,9.080459451121662
2013-06-14,2268.0,0.0,211.0,16423,33.98,2013,6,14,2013-06-01,27841.6,9.70643807033756
